stock_code,description,classification_text,description_id,product_category,confidence,classification_method,llm_product_category,llm_confidence,rule_category,qa_rule_category,gross_sales,cancellation_value,estimated_net_revenue,units_sold,sales_invoices,known_customers,abc_class
22148,EASTER CRAFT 4 CHICKS,EASTER CRAFT 4 CHICKS,1248,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,6480.29,101.4,6378.89,3237,299,209,A
85175,CACTI T-LIGHT CANDLES,CACTI T-LIGHT CANDLES,705,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,6606.26,248.82,6357.4400000000005,15566,442,199,A
85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,2807,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,6363.28,14.27,6349.009999999999,3886,342,172,A
23307,SET OF 60 PANTRY DESIGN CAKE CASES,SET OF 60 PANTRY DESIGN CAKE CASES,3736,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6371.889999999999,48.4,6323.49,12049,629,366,A
47599B,BLUE PARTY BAGS,BLUE PARTY BAGS,559,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,,6662.54,343.96,6318.58,3492,286,170,A
79067,CORONA MEXICAN TRAY,CORONA MEXICAN TRAY,998,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6380.2,62.7,6317.5,1615,396,160,A
22783,SET 3 WICKER OVAL BASKETS W LIDS,SET 3 WICKER OVAL BASKETS W LIDS,3585,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,6316.3,0.0,6316.3,482,45,38,A
11001,ASSTD DESIGN RACING CAR PEN,ASSTD DESIGN RACING CAR PEN,293,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,7408.65,1093.39,6315.259999999999,4829,251,118,A
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,CERAMIC BOWL WITH STRAWBERRY DESIGN,800,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6356.06,46.8,6309.26,2303,356,142,A
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,4563,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,6419.24,112.49,6306.75,13302,768,484,A
84968A,SET OF 16 VINTAGE ROSE CUTLERY,SET OF 16 VINTAGE ROSE CUTLERY,3620,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,6688.9,390.3,6298.599999999999,535,208,66,A
23169,CLASSIC GLASS COOKIE JAR,CLASSIC GLASS COOKIE JAR,954,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6662.84,379.15,6283.6900000000005,1556,314,203,A
22979,PANTRY WASHING UP BRUSH,PANTRY WASHING UP BRUSH,2741,Bathroom & Personal Care,High,LLM only,Bathroom & Personal Care,High,,,6391.82,117.55,6274.27,4090,381,225,A
22460,EMBOSSED GLASS TEALIGHT HOLDER,EMBOSSED GLASS TEALIGHT HOLDER,1297,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,6283.87,32.120000000000005,6251.75,4771,376,206,A
22065,CHRISTMAS PUDDING TRINKET POT,CHRISTMAS PUDDING TRINKET POT,912,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,6273.84,54.77,6219.07,8640,456,249,A
22185,SLATE TILE NATURAL HANGING,SLATE TILE NATURAL HANGING,3940,Home Decor & Furnishings,High,Manual QA correction,Other / Unclear,Medium,,,6224.72,6.6,6218.12,3896,462,298,A
85047,WHITE BEADED GARLAND STRING 20LIGHT,WHITE BEADED GARLAND STRING 20LIGHT,4442,Lighting & Candles,High,LLM only,Lighting & Candles,High,,,6664.33,450.7,6213.63,1051,236,137,A
22364,GLASS JAR DIGESTIVE BISCUITS,GLASS JAR DIGESTIVE BISCUITS,1716,Food & Beverage,High,LLM only,Food & Beverage,High,,,6498.610000000001,306.90000000000003,6191.710000000001,2054,340,164,A
23172,REGENCY TEA PLATE PINK,REGENCY TEA PLATE PINK,3312,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6344.41,154.29999999999998,6190.11,3861,305,160,A
21078,SET/20 STRAWBERRY PAPER NAPKINS,SET/20 STRAWBERRY PAPER NAPKINS,3770,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6181.25,1.7,6179.55,7211,741,342,A
22582,PACK OF 6 SWEETIE GIFT BOXES,PACK OF 6 SWEETIE GIFT BOXES,2692,"Stationery, Crafts & Wrapping",High,Manual QA correction,Other / Unclear,Medium,,,6324.77,183.6,6141.17,2522,295,225,A
22222,CAKE PLATE LOVEBIRD WHITE,CAKE PLATE LOVEBIRD WHITE,707,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6160.84,24.75,6136.09,1489,403,203,A
22906,12 MESSAGE CARDS WITH ENVELOPES,12 MESSAGE CARDS WITH ENVELOPES,11,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,6214.83,88.65,6126.18,3370,445,274,A
84832,ZINC WILLIE WINKIE CANDLE STICK,ZINC WILLIE WINKIE CANDLE STICK,4683,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,6134.7,10.2,6124.5,6794,630,281,A
21714,CITRONELLA CANDLE GARDEN POT,CITRONELLA CANDLE GARDEN POT,942,Garden & Outdoor,High,LLM + rule agreement,Garden & Outdoor,High,Garden & Outdoor,,6182.39,70.1,6112.29,4283,522,230,A
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,685,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,6114.24,4.949999999999999,6109.29,3516,345,224,A
22196,SMALL HEART MEASURING SPOONS,SMALL HEART MEASURING SPOONS,3964,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6141.19,36.04,6105.15,6586,981,304,A
22780,LIGHT GARLAND BUTTERFILES PINK,LIGHT GARLAND BUTTERFILES PINK,2272,Lighting & Candles,High,LLM only,Lighting & Candles,High,,,6167.59,106.25,6061.34,1623,179,110,A
10002,INFLATABLE POLITICAL GLOBE,INFLATABLE POLITICAL GLOBE,2019,Toys & Children,High,Manual QA correction,Other / Unclear,Medium,,,6942.26,883.5500000000001,6058.71,8671,362,164,A
22849,BREAD BIN DINER STYLE MINT,BREAD BIN DINER STYLE MINT,661,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6287.73,251.2,6036.53,403,162,101,A
22435,SET OF 9 HEART SHAPED BALLOONS,SET OF 9 HEART SHAPED BALLOONS,3745,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,,6185.22,154.75,6030.47,4915,537,303,A
21584,RETROSPOT SMALL TUBE MATCHES,RETROSPOT SMALL TUBE MATCHES,3353,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6070.05,44.55,6025.5,3769,352,253,A
20751,FUNKY WASHING UP GLOVES ASSORTED,FUNKY WASHING UP GLOVES ASSORTED,1632,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6023.26,6.300000000000001,6016.96,2839,471,264,A
21918,SET 12 KIDS COLOUR CHALK STICKS,SET 12 KIDS COLOUR CHALK STICKS,3570,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,6013.14,18.06,5995.08,14598,788,369,A
21499,BLUE POLKADOT WRAP,BLUE POLKADOT WRAP,573,Toys & Children,High,LLM only,Toys & Children,High,,,6059.84,82.5,5977.34,15052,460,302,A
22331,WOODLAND PARTY BAG + STICKER SET,WOODLAND PARTY BAG + STICKER SET,4576,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,,6011.57,46.2,5965.37,3660,437,225,A
22855,FINE WICKER HEART,FINE WICKER HEART,1457,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5979.24,15.0,5964.24,4795,427,271,A
23312,VINTAGE CHRISTMAS GIFT SACK,VINTAGE CHRISTMAS GIFT SACK,4310,Seasonal & Celebrations,High,Keyword rule override,"Bags, Storage & Travel",High,Seasonal & Celebrations,,5964.150000000001,4.15,5960.000000000001,1423,214,168,A
23296,SET OF 6 TEA TIME BAKING CASES,SET OF 6 TEA TIME BAKING CASES,3733,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5985.55,33.75,5951.8,4979,378,243,A
23052,RECYCLED ACAPULCO MAT TURQUOISE,RECYCLED ACAPULCO MAT TURQUOISE,3195,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5949.34,8.25,5941.09,654,278,147,A
22045,SPACEBOY GIFT WRAP,SPACEBOY GIFT WRAP,4026,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,5981.64,44.1,5937.54,14542,473,290,A
21591,COSY HOUR CIGAR BOX MATCHES,COSY HOUR CIGAR BOX MATCHES,1000,Lighting & Candles,High,Manual QA correction,Other / Unclear,Low,,,6003.08,67.5,5935.58,3978,365,264,A
23526,WALL ART DOG LICENCE,WALL ART DOG LICENCE,4401,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,6021.400000000001,95.2,5926.200000000001,1012,143,79,A
21586,KINGS CHOICE GIANT TUBE MATCHES,KINGS CHOICE GIANT TUBE MATCHES,2142,Lighting & Candles,High,Manual QA correction,Other / Unclear,Low,,,6018.75,94.35,5924.4,2583,238,172,A
23118,PARISIENNE JEWELLERY DRAWER,PARISIENNE JEWELLERY DRAWER,2770,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,,6102.18,180.0,5922.18,813,258,154,A
22848,BREAD BIN DINER STYLE PINK,BREAD BIN DINER STYLE PINK,662,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6128.599999999999,208.35,5920.249999999999,381,151,75,A
48197,DOOR MAT BIRD ON THE WIRE,DOOR MAT BIRD ON THE WIRE,1180,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5905.64,0.0,5905.64,898,225,81,A
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,PINK DRAWER KNOB ACRYLIC EDWARDIAN,2899,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5914.92,18.75,5896.17,4377,314,105,A
21407,BROWN CHECK CAT DOORSTOP,BROWN CHECK CAT DOORSTOP,670,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5883.33,8.5,5874.83,1294,453,231,A
22841,ROUND CAKE TIN VINTAGE GREEN,ROUND CAKE TIN VINTAGE GREEN,3426,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6002.52,151.05,5851.47,772,306,219,A
22332,SKULLS PARTY BAG + STICKER SET,SKULLS PARTY BAG + STICKER SET,3931,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,,6520.55,669.3,5851.25,4158,381,233,A
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,OVERNIGHT BAG VINTAGE ROSE PAISLEY,2645,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,5959.53,117.32,5842.21,1016,383,164,A
22241,GARLAND WOODEN HAPPY EASTER,GARLAND WOODEN HAPPY EASTER,1651,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,5862.42,22.31,5840.11,4349,474,242,A
22491,PACK OF 12 COLOURED PENCILS,PACK OF 12 COLOURED PENCILS,2660,"Stationery, Crafts & Wrapping",High,Manual QA correction,Other / Unclear,Medium,,,5950.0,134.28,5815.72,7423,390,264,A
22971,QUEENS GUARD COFFEE MUG,QUEENS GUARD COFFEE MUG,3172,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,5849.29,37.65,5811.64,2431,272,164,A
22167,OVAL WALL MIRROR DIAMANTE,OVAL WALL MIRROR DIAMANTE,2643,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,6056.33,248.75,5807.58,690,303,92,A
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,6 CHOCOLATE LOVE HEART T-LIGHTS,95,Lighting & Candles,High,LLM only,Lighting & Candles,High,,,5803.58,0.0,5803.58,2778,382,191,A
22361,GLASS JAR DAISY FRESH COTTON WOOL,GLASS JAR DAISY FRESH COTTON WOOL,1715,Bathroom & Personal Care,High,Manual QA correction,Other / Unclear,Medium,,,6036.26,232.85,5803.41,1845,496,189,A
22660,DOORMAT I LOVE LONDON,DOORMAT I LOVE LONDON,1196,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,5839.41,47.7,5791.71,881,194,96,A
85132C,CHARLIE AND LOLA FIGURES TINS,CHARLIE AND LOLA FIGURES TINS,827,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5865.04,79.4,5785.64,2066,306,144,A
22687,DOORMAT CHRISTMAS VILLAGE,DOORMAT CHRISTMAS VILLAGE,1190,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,5784.67,0.0,5784.67,895,149,97,A
79323LP,LIGHT PINK CHERRY LIGHTS,LIGHT PINK CHERRY LIGHTS,2273,Lighting & Candles,High,LLM only,Lighting & Candles,High,,,8481.19,2702.8,5778.39,1433,170,107,A
22737,RIBBON REEL CHRISTMAS PRESENT,RIBBON REEL CHRISTMAS PRESENT,3358,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,5840.43,66.0,5774.43,3266,493,300,A
21832,CHOCOLATE CALCULATOR,CHOCOLATE CALCULATOR,886,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5836.76,69.3,5767.46,3338,459,204,A
22618,COOKING SET RETROSPOT,COOKING SET RETROSPOT,994,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6984.349999999999,1226.07,5758.28,718,242,180,A
22899,CHILDREN'S APRON DOLLY GIRL,CHILDREN'S APRON DOLLY GIRL,855,Toys & Children,High,LLM only,Toys & Children,High,,,5769.76,14.45,5755.31,2773,421,249,A
22200,FRYING PAN PINK POLKADOT,FRYING PAN PINK POLKADOT,1618,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5784.92,44.25,5740.67,1296,357,120,A
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,3 PIECE SPACEBOY COOKIE CUTTER SET,42,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5768.830000000001,29.4,5739.430000000001,2761,408,228,A
21667,GLASS CAKE COVER AND PLATE,GLASS CAKE COVER AND PLATE,1701,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,6126.25,393.75,5732.5,354,163,119,A
84968B,S/16 VINTAGE IVORY CUTLERY,S/16 VINTAGE IVORY CUTLERY,3452,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,5732.389999999999,12.75,5719.639999999999,430,137,51,A
23154,SET OF 4 JAM JAR MAGNETS,SET OF 4 JAM JAR MAGNETS,3683,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5842.88,126.88,5716.0,2701,235,141,A
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,GROW YOUR OWN BASIL IN ENAMEL MUG,1846,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,5729.570000000001,21.0,5708.570000000001,2644,472,295,A
22826,LOVE SEAT ANTIQUE WHITE METAL,LOVE SEAT ANTIQUE WHITE METAL,2309,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,6210.0,517.5,5692.5,58,41,33,A
22115,METAL SIGN EMPIRE TEA,METAL SIGN EMPIRE TEA,2388,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5695.1,2.95,5692.150000000001,2889,500,244,A
85178,VICTORIAN SEWING KIT,VICTORIAN SEWING KIT,4286,"Stationery, Crafts & Wrapping",High,QA rule agreement,"Stationery, Crafts & Wrapping",High,,"Stationery, Crafts & Wrapping",6024.52,337.85,5686.67,5478,313,177,A
21577,SAVE THE PLANET COTTON TOTE BAG,SAVE THE PLANET COTTON TOTE BAG,3501,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,5716.52,36.0,5680.52,2556,464,241,A
22951,60 CAKE CASES DOLLY GIRL DESIGN,60 CAKE CASES DOLLY GIRL DESIGN,109,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5785.97,116.4,5669.570000000001,10993,634,345,A
21313,GLASS HEART T-LIGHT HOLDER,GLASS HEART T-LIGHT HOLDER,1713,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,5771.11,110.15,5660.96,6711,415,173,A
21452,TOADSTOOL MONEY BOX,TOADSTOOL MONEY BOX,4179,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,5731.330000000001,124.05,5607.280000000001,1875,408,228,A
22854,CREAM SWEETHEART EGG HOLDER,CREAM SWEETHEART EGG HOLDER,1030,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5624.5,29.700000000000003,5594.8,1160,244,169,A
23205,CHARLOTTE BAG VINTAGE ALPHABET,CHARLOTTE BAG VINTAGE ALPHABET,838,"Bags, Storage & Travel",High,QA rule agreement,"Bags, Storage & Travel",High,,"Bags, Storage & Travel",5726.38,140.25,5586.13,5857,467,201,A
21703,BAG 125G SWIRLY MARBLES,BAG 125G SWIRLY MARBLES,301,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,5646.47,71.82,5574.650000000001,14577,561,293,A
23531,WALL ART BIG LOVE,WALL ART BIG LOVE,4396,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5538.26,0.0,5538.26,976,112,77,A
22653,BUTTON BOX,BUTTON BOX,700,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,5618.21,85.8,5532.41,3031,381,156,A
21900,"KEY FOB , SHED","KEY FOB , SHED",2133,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,,5529.14,3.25,5525.89,8323,835,361,A
23133,LARGE IVORY HEART WALL ORGANISER,LARGE IVORY HEART WALL ORGANISER,2199,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5525.4,8.25,5517.15,782,155,94,A
22060,LARGE CAKE STAND HANGING HEARTS,LARGE CAKE STAND HANGING HEARTS,2179,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,5691.41,186.7,5504.71,733,158,112,A
22119,PEACE WOODEN BLOCK LETTERS,PEACE WOODEN BLOCK LETTERS,2801,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,,5543.87,41.7,5502.17,896,340,244,A
84971S,SMALL HEART FLOWERS HOOK,SMALL HEART FLOWERS HOOK,3963,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5503.27,1.7,5501.57,6495,462,180,A
40016,CHINESE DRAGON PAPER LANTERNS,CHINESE DRAGON PAPER LANTERNS,881,Lighting & Candles,High,LLM only,Lighting & Candles,High,,,5487.31,0.0,5487.31,15435,244,133,A
84968D,SET OF 16 VINTAGE RED CUTLERY,SET OF 16 VINTAGE RED CUTLERY,3619,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,5494.08,12.75,5481.33,476,110,45,A
23583,LUNCH BAG PAISLEY PARK,LUNCH BAG PAISLEY PARK,2317,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",,5497.33,16.5,5480.83,3385,325,233,A
23177,TREASURE ISLAND BOOK BOX,TREASURE ISLAND BOOK BOX,4221,"Bags, Storage & Travel",High,Manual QA correction,Other / Unclear,Low,,,5521.29,45.0,5476.29,2532,267,174,A
82599,FANNY'S REST STOPMETAL SIGN,FANNY'S REST STOPMETAL SIGN,1407,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5479.4400000000005,6.76,5472.68,2505,506,185,A
72802C,VANILLA SCENT CANDLE JEWELLED BOX,VANILLA SCENT CANDLE JEWELLED BOX,4276,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,6055.85,584.06,5471.790000000001,2185,270,143,A
21528,DAIRY MAID TRADITIONAL TEAPOT,DAIRY MAID TRADITIONAL TEAPOT,1089,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,5680.15,213.4,5466.75,899,257,145,A
22534,MAGIC DRAWING SLATE SPACEBOY,MAGIC DRAWING SLATE SPACEBOY,2345,Toys & Children,High,LLM only,Toys & Children,High,,,5514.79,58.38,5456.41,12891,583,353,A
23126,FELTCRAFT GIRL AMELIE KIT,FELTCRAFT GIRL AMELIE KIT,1439,Toys & Children,High,LLM only,Toys & Children,High,,,5532.04,79.2,5452.84,1109,291,198,A
21988,PACK OF 6 SKULL PAPER PLATES,PACK OF 6 SKULL PAPER PLATES,2690,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5820.099999999999,368.64,5451.459999999999,7829,416,209,A
22437,SET OF 9 BLACK SKULL BALLOONS,SET OF 9 BLACK SKULL BALLOONS,3744,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,,5457.97,13.6,5444.37,6514,443,258,A
20983,12 PENCILS TALL TUBE RED RETROSPOT,12 PENCILS TALL TUBE RED RETROSPOT,18,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,5469.08,26.35,5442.73,6280,641,359,A
23485,BOTANICAL GARDENS WALL CLOCK,BOTANICAL GARDENS WALL CLOCK,634,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5843.92,407.4,5436.52,262,83,70,A
85061W,WHITE JEWELLED HEART DECORATION,WHITE JEWELLED HEART DECORATION,4478,Home Decor & Furnishings,High,Manual QA correction,Other / Unclear,Medium,,,5451.49,21.25,5430.24,6306,469,201,A
16161P,WRAP ENGLISH ROSE,WRAP ENGLISH ROSE,4611,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,5435.4,10.5,5424.9,13198,440,289,A
79029,GLASS HONEYPOT WASP CATCHER,GLASS HONEYPOT WASP CATCHER,1714,Garden & Outdoor,High,Manual QA correction,Other / Unclear,Medium,,,5473.82,49.35,5424.469999999999,2944,343,201,A
72756,FAIRY CAKE CANDLES,FAIRY CAKE CANDLES,1382,Lighting & Candles,High,LLM only,Lighting & Candles,High,,,5459.48,37.25,5422.23,4012,129,114,A
23135,SMALL ZINC HEART WALL ORGANISER,SMALL ZINC HEART WALL ORGANISER,4000,Home Decor & Furnishings,High,Manual QA correction,Other / Unclear,Medium,,,5416.18,0.0,5416.18,1541,45,31,A
20978,36 PENCILS TUBE SKULLS,36 PENCILS TUBE SKULLS,60,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,5438.57,22.5,5416.07,4117,557,253,A
22203,MILK PAN RED RETROSPOT,MILK PAN RED RETROSPOT,2408,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5469.51,56.25,5413.26,1402,392,166,A
22483,RED GINGHAM TEDDY BEAR,RED GINGHAM TEDDY BEAR,3218,Toys & Children,High,LLM only,Toys & Children,High,,,5440.51,50.150000000000006,5390.360000000001,1877,349,223,A
23158,SET OF 5 LUCKY CAT MAGNETS,SET OF 5 LUCKY CAT MAGNETS,3704,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5513.83,124.8,5389.03,2633,255,96,A
22085,PAPER CHAIN KIT SKULLS,PAPER CHAIN KIT SKULLS,2752,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,6883.87,1501.75,5382.12,2538,230,141,A
22602,CHRISTMAS RETROSPOT HEART WOOD,CHRISTMAS RETROSPOT HEART WOOD,914,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,,5415.59,44.2,5371.39,6383,535,305,A
21730,GLASS STAR FROSTED T-LIGHT HOLDER,GLASS STAR FROSTED T-LIGHT HOLDER,1724,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,,5534.17,172.55,5361.62,1115,293,155,A
22763,KEY CABINET MA CAMPAGNE,KEY CABINET MA CAMPAGNE,2129,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5430.59,69.64999999999999,5360.9400000000005,662,135,95,A
84937,KASHMIR FOLKART TUMBLERS,KASHMIR FOLKART TUMBLERS,2125,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5394.54,37.8,5356.74,2542,124,50,A
22156,HEART DECORATION WITH PEARLS,HEART DECORATION WITH PEARLS,1925,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5537.57,183.41,5354.16,6156,581,259,A
22443,GROW YOUR OWN HERBS SET OF 3,GROW YOUR OWN HERBS SET OF 3,1848,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5393.43,39.75,5353.68,683,264,193,A
22335,HEART DECORATION PAINTED ZINC,HEART DECORATION PAINTED ZINC,1923,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,,5644.77,292.95000000000005,5351.820000000001,8666,510,242,A
35832,WOOLLY HAT SOCK GLOVE ADVENT STRING,WOOLLY HAT SOCK GLOVE ADVENT STRING,4584,Seasonal & Celebrations,High,Keyword rule override,Other / Unclear,Medium,Seasonal & Celebrations,,5341.85,13.55,5328.3,1737,188,132,A
21432,SET OF 3 CASES WOODLAND DESIGN,SET OF 3 CASES WOODLAND DESIGN,3645,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,,5435.91,129.35,5306.56,942,237,152,A
21491,SET OF THREE VINTAGE GIFT WRAPS,SET OF THREE VINTAGE GIFT WRAPS,3754,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,,5367.009999999999,99.45,5267.56,2878,248,184,A
22175,PINK OWL SOFT TOY,PINK OWL SOFT TOY,2983,Toys & Children,High,LLM only,Toys & Children,High,,,5278.31,23.6,5254.71,1824,363,161,A
85132A,CHARLIE + LOLA BISCUITS TINS,CHARLIE + LOLA BISCUITS TINS,824,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,,5287.2,33.75,5253.45,1358,260,98,A
22186,RED STAR CARD HOLDER,RED STAR CARD HOLDER,3290,Home Decor & Furnishings,High,Manual QA correction,Other / Unclear,Medium,,,5431.400000000001,182.3,5249.1,2004,345,234,A
37495,FAIRY CAKE BIRTHDAY CANDLE SET,FAIRY CAKE BIRTHDAY CANDLE SET,1381,Seasonal & Celebrations,High,Keyword rule override,Lighting & Candles,High,Seasonal & Celebrations,,5732.6,493.2,5239.400000000001,1560,330,206,A
22070,SMALL RED RETROSPOT MUG IN BOX,SMALL RED RETROSPOT MUG IN BOX,3983,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,5701.49,474.79,5226.7,1835,320,217,A
37446,MINI CAKE STAND WITH HANGING CAKES,MINI CAKE STAND WITH HANGING CAKES,2413,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,,5332.25,121.7,5210.55,3691,410,168,A
