description_id,classification_text,description,product_category,confidence,classification_method,llm_product_category,llm_confidence,rule_category,qa_rule_category
1043,CROCHET ROSE DES CLOTHES HANGER,CROCHET ROSE DES CLOTHES HANGER,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1044,CROCHET ROSE PURSE WITH SUEDE BACK,CROCHET ROSE PURSE WITH SUEDE BACK,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1045,CROCHET WHITE RABBIT KEYRING,CROCHET WHITE RABBIT KEYRING,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1046,CROSS STITCH ALPHABET CUSHION COVER,CROSS STITCH ALPHABET CUSHION COVER,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1047,CRYSTAL CZECH CROSS PHONE CHARM,CRYSTAL CZECH CROSS PHONE CHARM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1048,CRYSTAL DIAMANTE EXPANDABLE RING,CRYSTAL DIAMANTE EXPANDABLE RING,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1049,CRYSTAL DIAMANTE STAR BROOCH,CRYSTAL DIAMANTE STAR BROOCH,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1050,CRYSTAL DRAGONFLY PHONE CHARM,CRYSTAL DRAGONFLY PHONE CHARM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1051,CRYSTAL FROG PHONE CHARM,CRYSTAL FROG PHONE CHARM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1052,CRYSTAL HOOP EARRING FLORAL LEAF,CRYSTAL HOOP EARRING FLORAL LEAF,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1053,CRYSTAL KEY+LOCK PHONE CHARM,CRYSTAL KEY+LOCK PHONE CHARM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1054,CRYSTAL LARGE JEWELLED PHOTO FRAME,CRYSTAL LARGE JEWELLED PHOTO FRAME,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1055,CRYSTAL PAIR HEART HAIR SLIDES,CRYSTAL PAIR HEART HAIR SLIDES,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1056,CRYSTAL SEA HORSE PHONE CHARM,CRYSTAL SEA HORSE PHONE CHARM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1057,CRYSTAL SMALL JEWELLED PHOTOFRAME,CRYSTAL SMALL JEWELLED PHOTOFRAME,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1058,CRYSTAL STILETTO PHONE CHARM,CRYSTAL STILETTO PHONE CHARM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1059,CRYSTAL STUD EARRINGS ASSORTED COL,CRYSTAL STUD EARRINGS ASSORTED COL,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1060,CRYSTAL STUD EARRINGS CLEAR DISPLAY,CRYSTAL STUD EARRINGS CLEAR DISPLAY,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1061,CUBIC MUG BLUE POLKA DOT,CUBIC MUG BLUE POLKA DOT,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
1062,CUBIC MUG FLOCK BLUE ON BROWN,CUBIC MUG FLOCK BLUE ON BROWN,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
1063,CUBIC MUG FLOCK PINK ON BROWN,CUBIC MUG FLOCK PINK ON BROWN,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
1064,CUBIC MUG PINK POLKADOT,CUBIC MUG PINK POLKADOT,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
1065,CUBIC MUG TEATIME CAKES,CUBIC MUG TEATIME CAKES,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
1066,CUPBOARD 3 DRAWER MA CAMPAGNE,CUPBOARD 3 DRAWER MA CAMPAGNE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1067,CUPCAKE LACE PAPER SET 6,CUPCAKE LACE PAPER SET 6,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1068,CUPID DESIGN SCENTED CANDLES,CUPID DESIGN SCENTED CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
1069,CUPID SCENTED CANDLE IN GLASS,CUPID SCENTED CANDLE IN GLASS,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
1070,CURIO CABINET LINEN AND LACE,CURIO CABINET LINEN AND LACE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1071,CURIOUS IMAGES GIFT WRAP SET,CURIOUS IMAGES GIFT WRAP SET,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1072,CURIOUS IMAGES NOTEBOOK SET,CURIOUS IMAGES NOTEBOOK SET,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1073,CURIOUS IMAGES SCRAP BOOK SET,CURIOUS IMAGES SCRAP BOOK SET,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1074,CUSHION COVER PINK UNION JACK,CUSHION COVER PINK UNION JACK,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1075,CUT GLASS HEXAGON T-LIGHT HOLDER,CUT GLASS HEXAGON T-LIGHT HOLDER,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
1076,CUT GLASS T-LIGHT HOLDER OCTAGON,CUT GLASS T-LIGHT HOLDER OCTAGON,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
1077,CUTE BIRD CEATURE SCREEN,CUTE BIRD CEATURE SCREEN,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
1078,CUTE CATS TAPE,CUTE CATS TAPE,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
1079,CUTE RABBIT CEATURE SCREEN,CUTE RABBIT CEATURE SCREEN,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
1080,DAD'S CAB ELECTRONIC METER,DAD'S CAB ELECTRONIC METER,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
1081,DADDY MOUSE RED GINGHAM BOW TIE,DADDY MOUSE RED GINGHAM BOW TIE,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1082,DAIRY MAID CERAMIC BUTTER DISH,DAIRY MAID CERAMIC BUTTER DISH,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1083,DAIRY MAID LARGE MILK JUG,DAIRY MAID LARGE MILK JUG,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1084,DAIRY MAID PUDDING BOWL,DAIRY MAID PUDDING BOWL,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1085,DAIRY MAID SMALL MILK JUG,DAIRY MAID SMALL MILK JUG,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1086,DAIRY MAID STRIPE MUG,DAIRY MAID STRIPE MUG,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
1087,DAIRY MAID SUGAR JAM BOWL,DAIRY MAID SUGAR JAM BOWL,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1088,DAIRY MAID TOASTRACK,DAIRY MAID TOASTRACK,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1089,DAIRY MAID TRADITIONAL TEAPOT,DAIRY MAID TRADITIONAL TEAPOT,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
1090,DAISIES HONEYCOMB GARLAND,DAISIES HONEYCOMB GARLAND,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
1091,DAISY ERASERS IN BAG,DAISY ERASERS IN BAG,Other / Unclear,Low,LLM only,Other / Unclear,Low,,
1092,DAISY FOLKART HEART DECORATION,DAISY FOLKART HEART DECORATION,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1093,DAISY GARDEN MARKER,DAISY GARDEN MARKER,Garden & Outdoor,High,LLM only,Garden & Outdoor,High,,
1094,DAISY HAIR BAND,DAISY HAIR BAND,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1095,DAISY HAIR COMB,DAISY HAIR COMB,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1096,DAISY JOURNAL,DAISY JOURNAL,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1097,DAISY NOTEBOOK,DAISY NOTEBOOK,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1098,DAISY RING,DAISY RING,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1099,DAISY SKETCHBOOK,DAISY SKETCHBOOK,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1100,DANISH ROSE BEDSIDE CABINET,DANISH ROSE BEDSIDE CABINET,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1101,DANISH ROSE DECORATIVE PLATE,DANISH ROSE DECORATIVE PLATE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1102,DANISH ROSE DELUXE COASTER,DANISH ROSE DELUXE COASTER,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1103,DANISH ROSE FOLDING CHAIR,DANISH ROSE FOLDING CHAIR,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1104,DANISH ROSE PHOTO FRAME,DANISH ROSE PHOTO FRAME,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1105,DANISH ROSE ROUND SEWING BOX,DANISH ROSE ROUND SEWING BOX,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1106,DANISH ROSE TRINKET TRAYS,DANISH ROSE TRINKET TRAYS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1107,DANISH ROSE UMBRELLA STAND,DANISH ROSE UMBRELLA STAND,Fashion & Personal Accessories,High,QA keyword correction,Kitchen & Dining,High,,Fashion & Personal Accessories
1108,DARK BIRD HOUSE TREE DECORATION,DARK BIRD HOUSE TREE DECORATION,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1109,DARK CHOCOLATE SCENTCANDLE,DARK CHOCOLATE SCENTCANDLE,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
1110,DARK PINK FLOCK GLASS CANDLEHOLDER,DARK PINK FLOCK GLASS CANDLEHOLDER,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
1111,"DECORATION , HANGING METAL CHICKEN","DECORATION , HANGING METAL CHICKEN",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1112,"DECORATION , WOBBLY CHICKEN, METAL","DECORATION , WOBBLY CHICKEN, METAL",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1113,"DECORATION , WOBBLY RABBIT , METAL","DECORATION , WOBBLY RABBIT , METAL",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1114,DECORATION BUTTERFLY MAGIC GARDEN,DECORATION BUTTERFLY MAGIC GARDEN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1115,"DECORATION HEN ON NEST, HANGING","DECORATION HEN ON NEST, HANGING",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1116,DECORATION PINK CHICK MAGIC GARDEN,DECORATION PINK CHICK MAGIC GARDEN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1117,DECORATION WHITE CHICK MAGIC GARDEN,DECORATION WHITE CHICK MAGIC GARDEN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1118,DECORATIVE CATS BATHROOM BOTTLE,DECORATIVE CATS BATHROOM BOTTLE,Bathroom & Personal Care,High,LLM only,Bathroom & Personal Care,High,,
1119,DECORATIVE FLORE BATHROOM BOTTLE,DECORATIVE FLORE BATHROOM BOTTLE,Bathroom & Personal Care,High,LLM only,Bathroom & Personal Care,High,,
1120,DECORATIVE HANGING SHELVING UNIT,DECORATIVE HANGING SHELVING UNIT,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1121,DECORATIVE NET CANOPY CREAM,DECORATIVE NET CANOPY CREAM,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1122,DECORATIVE NET CANOPY LEOPARD,DECORATIVE NET CANOPY LEOPARD,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1123,DECORATIVE PLANT POT WITH FRIEZE,DECORATIVE PLANT POT WITH FRIEZE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1124,DECORATIVE ROSE BATHROOM BOTTLE,DECORATIVE ROSE BATHROOM BOTTLE,Bathroom & Personal Care,High,LLM only,Bathroom & Personal Care,High,,
1125,DECORATIVE WICKER HEART LARGE,DECORATIVE WICKER HEART LARGE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1126,DECORATIVE WICKER HEART MEDIUM,DECORATIVE WICKER HEART MEDIUM,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1127,DECORATIVE WICKER HEART SMALL,DECORATIVE WICKER HEART SMALL,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1128,"DECOUPAGE,GREETING CARD,","DECOUPAGE,GREETING CARD,","Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1129,DELUXE SEWING KIT,DELUXE SEWING KIT,"Stationery, Crafts & Wrapping",High,QA keyword correction,Other / Unclear,High,,"Stationery, Crafts & Wrapping"
1130,DENIM PATCH PENCIL CASE BUTTERFLY,DENIM PATCH PENCIL CASE BUTTERFLY,Other / Unclear,High,LLM only,Other / Unclear,High,,
1131,DENIM PATCH PURSE PINK BUTTERFLY,DENIM PATCH PURSE PINK BUTTERFLY,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1132,DIAMANTE BOW BROOCH BLACK COLOUR,DIAMANTE BOW BROOCH BLACK COLOUR,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1133,DIAMANTE BOW BROOCH GREEN COLOUR,DIAMANTE BOW BROOCH GREEN COLOUR,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1134,DIAMANTE BOW BROOCH RED COLOUR,DIAMANTE BOW BROOCH RED COLOUR,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1135,DIAMANTE BOW BROOCH WHITE COLOUR,DIAMANTE BOW BROOCH WHITE COLOUR,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1136,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1137,DIAMANTE HAIR GRIP PACK/2 CRYSTAL,DIAMANTE HAIR GRIP PACK/2 CRYSTAL,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1138,DIAMANTE HAIR GRIP PACK/2 LT ROSE,DIAMANTE HAIR GRIP PACK/2 LT ROSE,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1139,DIAMANTE HAIR GRIP PACK/2 MONTANA,DIAMANTE HAIR GRIP PACK/2 MONTANA,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1140,DIAMANTE HAIR GRIP PACK/2 PERIDOT,DIAMANTE HAIR GRIP PACK/2 PERIDOT,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1141,DIAMANTE HAIR GRIP PACK/2 RUBY,DIAMANTE HAIR GRIP PACK/2 RUBY,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1142,"DIAMANTE HEART SHAPED WALL MIRROR,","DIAMANTE HEART SHAPED WALL MIRROR,",Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1143,DIAMANTE NECKLACE,DIAMANTE NECKLACE,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1144,DIAMANTE NECKLACE BLACK,DIAMANTE NECKLACE BLACK,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1145,DIAMANTE NECKLACE GREEN,DIAMANTE NECKLACE GREEN,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1146,DIAMANTE NECKLACE PURPLE,DIAMANTE NECKLACE PURPLE,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1147,DIAMANTE RING ASSORTED IN BOX.,DIAMANTE RING ASSORTED IN BOX.,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1148,DIAMOND LAS VEGAS NECKLACE 45CM,DIAMOND LAS VEGAS NECKLACE 45CM,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1149,DINOSAUR BIRTHDAY CARD,DINOSAUR BIRTHDAY CARD,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
1150,DINOSAUR HEIGHT CHART STICKER SET,DINOSAUR HEIGHT CHART STICKER SET,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1151,DINOSAUR KEYRINGS ASSORTED,DINOSAUR KEYRINGS ASSORTED,Fashion & Personal Accessories,High,LLM only,Fashion & Personal Accessories,High,,
1152,DINOSAUR LUNCH BOX WITH CUTLERY,DINOSAUR LUNCH BOX WITH CUTLERY,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",
1153,DINOSAUR PARTY BAG + STICKER SET,DINOSAUR PARTY BAG + STICKER SET,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
1154,DINOSAURS WATER TRANSFER TATTOOS,DINOSAURS WATER TRANSFER TATTOOS,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
1155,DINOSAURS WRITING SET,DINOSAURS WRITING SET,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1156,DISCO BALL CHRISTMAS DECORATION,DISCO BALL CHRISTMAS DECORATION,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
1157,DISCO BALL ROTATOR BATTERY OPERATED,DISCO BALL ROTATOR BATTERY OPERATED,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
1158,DISTRESSED CANDLE STICK WHITE,DISTRESSED CANDLE STICK WHITE,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
1159,DO NOT TOUCH MY STUFF DOOR HANGER,DO NOT TOUCH MY STUFF DOOR HANGER,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1160,DOCTOR'S BAG SOFT TOY,DOCTOR'S BAG SOFT TOY,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
1161,DOG BOWL CHASING BALL DESIGN,DOG BOWL CHASING BALL DESIGN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1162,DOG BOWL VINTAGE CREAM,DOG BOWL VINTAGE CREAM,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1163,DOG TOY WITH PINK CROCHET SKIRT,DOG TOY WITH PINK CROCHET SKIRT,Toys & Children,High,LLM only,Toys & Children,High,,
1164,DOGGY RUBBER,DOGGY RUBBER,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
1165,DOGS NIGHT COLLAR,DOGS NIGHT COLLAR,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
1166,DOILY THANK YOU CARD,DOILY THANK YOU CARD,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1167,DOLLY CABINET 2 DRAWERS,DOLLY CABINET 2 DRAWERS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1168,DOLLY CABINET 3 DRAWERS,DOLLY CABINET 3 DRAWERS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1169,DOLLY GIRL BABY GIFT SET,DOLLY GIRL BABY GIFT SET,Toys & Children,High,LLM only,Toys & Children,High,,
1170,DOLLY GIRL BEAKER,DOLLY GIRL BEAKER,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1171,DOLLY GIRL CHILDRENS BOWL,DOLLY GIRL CHILDRENS BOWL,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1172,DOLLY GIRL CHILDRENS CUP,DOLLY GIRL CHILDRENS CUP,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1173,DOLLY GIRL CHILDRENS EGG CUP,DOLLY GIRL CHILDRENS EGG CUP,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1174,DOLLY GIRL LUNCH BOX,DOLLY GIRL LUNCH BOX,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",
1175,DOLLY GIRL MINI BACKPACK,DOLLY GIRL MINI BACKPACK,"Bags, Storage & Travel",High,LLM + rule agreement,"Bags, Storage & Travel",High,"Bags, Storage & Travel",
1176,DOLLY HONEYCOMB GARLAND,DOLLY HONEYCOMB GARLAND,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
1177,DOLLY MIXTURE CHILDREN'S UMBRELLA,DOLLY MIXTURE CHILDREN'S UMBRELLA,Fashion & Personal Accessories,High,QA keyword correction,Kitchen & Dining,High,,Fashion & Personal Accessories
1178,DOLPHIN WINDMILL,DOLPHIN WINDMILL,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1179,DOOR HANGER MUM + DADS ROOM,DOOR HANGER MUM + DADS ROOM,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1180,DOOR MAT BIRD ON THE WIRE,DOOR MAT BIRD ON THE WIRE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1181,DOOR MAT BLUE FLOCK,DOOR MAT BLUE FLOCK,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1182,DOOR MAT CAMOUFLAGE,DOOR MAT CAMOUFLAGE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1183,DOOR MAT FRIENDSHIP,DOOR MAT FRIENDSHIP,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1184,DOOR MAT GREEN PAISLEY,DOOR MAT GREEN PAISLEY,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1185,DOOR MAT KISS MY.......,DOOR MAT KISS MY.......,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1186,DOOR MAT SWEET HOME,DOOR MAT SWEET HOME,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1187,DOORMAT 3 SMILEY CATS,DOORMAT 3 SMILEY CATS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1188,DOORMAT AIRMAIL,DOORMAT AIRMAIL,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1189,DOORMAT BLACK FLOCK,DOORMAT BLACK FLOCK,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1190,DOORMAT CHRISTMAS VILLAGE,DOORMAT CHRISTMAS VILLAGE,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
1191,DOORMAT ENGLISH ROSE,DOORMAT ENGLISH ROSE,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1192,DOORMAT FAIRY CAKE,DOORMAT FAIRY CAKE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
1193,DOORMAT FANCY FONT HOME SWEET HOME,DOORMAT FANCY FONT HOME SWEET HOME,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1194,DOORMAT HEARTS,DOORMAT HEARTS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1195,DOORMAT HOME SWEET HOME BLUE,DOORMAT HOME SWEET HOME BLUE,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1196,DOORMAT I LOVE LONDON,DOORMAT I LOVE LONDON,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1197,DOORMAT KEEP CALM AND COME IN,DOORMAT KEEP CALM AND COME IN,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1198,DOORMAT MERRY CHRISTMAS RED,DOORMAT MERRY CHRISTMAS RED,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
1199,DOORMAT MULTICOLOUR STRIPE,DOORMAT MULTICOLOUR STRIPE,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1200,DOORMAT NEIGHBOURHOOD WITCH,DOORMAT NEIGHBOURHOOD WITCH,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
1201,DOORMAT NEW ENGLAND,DOORMAT NEW ENGLAND,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1202,DOORMAT PEACE ON EARTH BLUE,DOORMAT PEACE ON EARTH BLUE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1203,DOORMAT RED RETROSPOT,DOORMAT RED RETROSPOT,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1204,DOORMAT RESPECTABLE HOUSE,DOORMAT RESPECTABLE HOUSE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1205,DOORMAT SPOTTY HOME SWEET HOME,DOORMAT SPOTTY HOME SWEET HOME,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1206,DOORMAT TOPIARY,DOORMAT TOPIARY,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1207,DOORMAT UNION FLAG,DOORMAT UNION FLAG,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1208,DOORMAT UNION JACK GUNS AND ROSES,DOORMAT UNION JACK GUNS AND ROSES,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1209,DOORMAT VINTAGE LEAF,DOORMAT VINTAGE LEAF,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1210,DOORMAT WELCOME PUPPIES,DOORMAT WELCOME PUPPIES,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1211,DOORMAT WELCOME SUNRISE,DOORMAT WELCOME SUNRISE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1212,DOORMAT WELCOME TO OUR HOME,DOORMAT WELCOME TO OUR HOME,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1213,DOORSTOP FOOTBALL DESIGN,DOORSTOP FOOTBALL DESIGN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1214,DOORSTOP RACING CAR DESIGN,DOORSTOP RACING CAR DESIGN,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
1215,DOORSTOP RETROSPOT HEART,DOORSTOP RETROSPOT HEART,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
